id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
161,apartment,apartment,1,41.90043075,-87.80214633,,818 BELLEFORTE AVE,0,800.0,0,0,0
162,apartment,apartment,1,41.90031832,-87.8021377,,812 BELLEFORTE AVE,0,814.7,0,0,0
163,apartment,apartment,1,41.90033073,-87.80121199,,813 FOREST AVE,0,1053.9,0,0,0
164,apartment,apartment,1,41.90034462,-87.80063708,,814 FOREST AVE,0,1204.3,0,0,0
165,apartment,apartment,1,41.89905647,-87.80505105,,1029 N HARLEM AVE,1,725.2,1,1,1
166,apartment,apartment,1,41.8989583,-87.80503992,,1027 N HARLEM AVE,1,760.8,1,1,1
167,apartment,apartment,1,41.89876211,-87.80505348,,1021 N HARLEM AVE,1,832.3,1,1,1
168,apartment,apartment,1,41.89867283,-87.80503629,,1017 N HARLEM AVE,1,864.7,1,1,1
169,apartment,apartment,1,41.89857028,-87.80504311,,1015 N HARLEM AVE,1,902.1,1,1,1
170,apartment,apartment,1,41.89932235,-87.80417918,,739 N MARION ST,0,664.5,0,0,0
171,apartment,apartment,1,41.89915019,-87.80506223,,1031 N HARLEM AVE,1,691.2,1,1,1
172,apartment,apartment,1,41.89917994,-87.80356986,,734 N MARION ST,0,780.0,0,0,0
173,apartment,apartment,1,41.89897396,-87.80357157,,728 N MARION ST,0,845.9,0,0,0
174,apartment,apartment,1,41.89886251,-87.80355012,,724 N MARION ST,0,884.8,0,0,0
175,apartment,apartment,1,41.89874169,-87.80363815,,720 N MARION ST,0,914.8,0,0,0
176,apartment,apartment,1,41.89811629,-87.80316642,,1050 AUGUSTA ST 1,0,1174.8,0,0,0
177,apartment,apartment,1,41.89889385,-87.80208786,,724 BELLEFORTE AVE,0,1108.6,0,0,0
178,apartment,apartment,1,41.89948693,-87.80213264,,740 BELLEFORTE AVE,0,958.2,0,0,0
179,apartment,apartment,1,41.89926619,-87.79819882,,733 N KENILWORTH AVE,0,1948.6,0,0,0
180,apartment,apartment,1,41.89864598,-87.79814426,,715 N KENILWORTH AVE,0,1966.4,0,0,0
181,apartment,apartment,1,41.8996227,-87.79663309,,741 N GROVE AVE,0,2320.6,0,0,0
