pin,class,lat,lon,address
16063130140000,211,41.89853762,-87.79597956,712 N GROVE AVE 1
16063140030000,211,41.89764113,-87.80481808,1129 AUGUSTA ST
16063140210000,211,41.89726561,-87.80361056,627 N MARION ST
16063140220000,211,41.89762716,-87.80514249,1137 AUGUSTA ST
16063140230000,211,41.89763108,-87.80496949,1135 AUGUSTA ST
16063150050000,211,41.89691809,-87.8046031,1127 MILLER AVE
16063150110000,211,41.89649048,-87.80439063,1122 SCHNEIDER AVE
16063160190000,211,41.89558228,-87.80382889,1112 PAULINA ST
16063160260000,211,41.89610947,-87.80472032,1129 SCHNEIDER AVE 1
16063170100000,211,41.89512734,-87.80343474,527 N MARION ST
16063170170000,212,41.89455982,-87.80428749,1122 CHICAGO AVE
16063170180000,211,41.89446821,-87.80417388,1120 CHICAGO AVE
16063170230000,211,41.89463254,-87.80350411,509 N MARION ST
16063170240000,318,41.89440812,-87.80351716,1104 CHICAGO AVE
16063170280000,211,41.89513058,-87.80418901,1119 PAULINA ST
16063180190000,211,41.89537344,-87.80302441,528 N MARION ST
16063180220000,211,41.89498925,-87.802956,516 N MARION ST
16063180250000,212,41.89448205,-87.80290733,1046 CHICAGO AVE
16063180440000,211,41.89570544,-87.8023003,539 BELLEFORTE AVE 1
16063180460000,211,41.89543574,-87.80229559,531 BELLEFORTE AVE
16063180530000,315,41.89462599,-87.80247432,1040 CHICAGO AVE
16063180540000,315,41.89461338,-87.80221138,1030 CHICAGO AVE
16063180550000,211,41.89503783,-87.80232396,519 BELLEFORTE AVE
16063190260000,211,41.89502066,-87.80162475,518 BELLEFORTE AVE
16063190470000,211,41.89511604,-87.8010217,521 FOREST AVE
16063190530000,211,41.89769629,-87.80097039,645 FOREST AVE
16063190550000,211,41.89459833,-87.8015378,1018 CHICAGO AVE
16063190560000,211,41.89460411,-87.8013861,1016 CHICAGO AVE
16063190580000,211,41.89484591,-87.80091235,515 FOREST AVE 1
16063190590000,211,41.89471214,-87.80091346,511 FOREST AVE
16063190600000,211,41.89455275,-87.80091479,505 FOREST AVE
16063200440000,211,41.89504077,-87.79948849,519 WOODBINE AVE
16063200470000,211,41.89463319,-87.79985217,948 CHICAGO AVE
16063200510000,211,41.89492939,-87.79940936,515 WOODBINE AVE
16063200580000,211,41.89463416,-87.80006183,950 CHICAGO AVE
16063200590000,211,41.89486058,-87.80039743,510 FOREST AVE
16063200600000,211,41.89471238,-87.80035672,506 FOREST AVE
16063200610000,211,41.89455872,-87.80036563,500 FOREST AVE
16063210040000,211,41.89778038,-87.79871923,919 AUGUSTA ST
16063210050000,211,41.89777974,-87.7985826,915 AUGUSTA ST
16063210170000,211,41.89632092,-87.79884478,604 WOODBINE AVE
16063210390000,211,41.89639443,-87.79812649,605 N KENILWORTH AVE
16063210420000,211,41.8958939,-87.79812327,541 N KENILWORTH AVE
16063210430000,211,41.89578277,-87.79809751,539 N KENILWORTH AVE
16063210460000,211,41.89534436,-87.79808211,523 N KENILWORTH AVE
16063210480000,211,41.89602207,-87.79814126,545 N KENILWORTH AVE
16063220100000,211,41.89631758,-87.79742552,600 N KENILWORTH AVE
16063230220000,211,41.89720951,-87.79514834,625 N OAK PARK AVE
16063240250000,211,41.89585024,-87.7974036,540 N KENILWORTH AVE
16063250040000,211,41.89566518,-87.79589545,534 N GROVE AVE
16063250060000,211,41.89535018,-87.79586576,524 N GROVE AVE
16064040030000,211,41.9013794,-87.78957889,842 N EAST AVE
16064120010000,211,41.8997055,-87.78623285,744 N ELMWOOD AVE
16064160060000,211,41.8971694,-87.7894164,622 N EAST AVE
16064190030000,211,41.89582856,-87.79430739,536 N OAK PARK AVE
16064230150000,211,41.89592589,-87.78693213,541 N ELMWOOD AVE
16064240190000,211,41.89540585,-87.7853073,525 N RIDGELAND AVE
16071000100000,211,41.89380552,-87.80419113,425 N MAPLE AVE
16071010080000,318,41.89413725,-87.80326315,1101 CHICAGO AVE
16071010090000,212,41.89388204,-87.8030182,421 N MARION ST
